Indicator,Date,Value
NPL,2023,1.95628264361572
NPL,2022,2.14649051618116
NPL,2021,2.64057088343298
NPL,2020,2.64268448647727
NPL,2019,2.33935750447439
NPL,2018,2.20579865068329
NPL,2017,2.44404843529866
NPL,2016,2.77489855191291
NPL,2015,2.31686319973563
NPL,2014,1.97494771279186
NPL,2013,1.60618085839081
NPL,2012,1.67598753441661
NPL,2011,2.00668094304848
NPL,2010,2.31233314887669
NPL,2009,2.89219586768057
NPL,2008,2.87020628006279
NPL,2007,3.69085921286511
NPL,2006,5.15545411942603
NPL,2005,6.25246820199786
CAR,2023,13.3626234670299
CAR,2022,13.28970234714
CAR,2021,13.1696920960953
CAR,2020,12.5634216351375
CAR,2019,13.4039163891179
CAR,2018,12.8231121824865
CAR,2017,14.6182982891751
CAR,2016,12.4254380685723
CAR,2015,10.7746096789164
CAR,2014,9.961614035339
CAR,2013,9.59759906195034
CAR,2012,9.00423180425004
CAR,2011,8.62814831400534
CAR,2010,8.18652095676075
CAR,2009,7.86664838953077
CAR,2008,7.579854891937
CAR,2007,7.83432458392869
CAR,2006,7.63777895246626
CAR,2005,7.77656060636301
