Indicator,Date,Value
NIM,2024-01-01,8.795687849
NIM,2023-01-01,8.926666667
NIM,2022-01-01,8.52
NIM,2021-01-01,8.9225
NIM,2020-01-01,9.544166667
NIM,2019-01-01,10.36583333
NIM,2018-01-01,10.53666667
NIM,2017-01-01,11.07333333
NIM,2016-01-01,11.88833333
NIM,2015-01-01,12.6625
NIM,2014-01-01,12.605
NIM,2013-01-01,11.6575
NIM,2012-01-01,11.795
NIM,2011-01-01,12.40333333
NIM,2010-01-01,13.25166667
NIM,2009-01-01,14.49833333
NIM,2008-01-01,13.59833333
NIM,2007-01-01,13.86166667
NIM,2006-01-01,15.97916667
NIM,2005-01-01,14.05083333
NIM,2004-01-01,14.12416667
NIM,2003-01-01,16.935
NIM,2002-01-01,18.945
NIM,2001-01-01,18.5475
NIM,2000-01-01,18.455
NIM,1999-01-01,27.6625
NIM,1998-01-01,32.15416667
NIM,1997-01-01,21.8175
NIM,1996-01-01,19.2175
NIM,1995-01-01,18.85166667
NIM,1994-01-01,17.76
NIM,1993-01-01,20.58666667
NIM,1992-01-01,24.03333333
NIM,1991-01-01,25.53333333
NIM,1990-01-01,20.825
NIM,1989-01-01,21.69916667
NIM,1988-01-01,22.0975
NIM,1987-01-01,21.66666667
NIM,1986-01-01,21.50416667
NPL,2023-01-01,1.95628264361572
NPL,2022-01-01,2.14649051618116
NPL,2021-01-01,2.64057088343298
NPL,2020-01-01,2.64268448647727
NPL,2019-01-01,2.33935750447439
NPL,2018-01-01,2.20579865068329
NPL,2017-01-01,2.44404843529866
NPL,2016-01-01,2.77489855191291
NPL,2015-01-01,2.31686319973563
NPL,2014-01-01,1.97494771279186
NPL,2013-01-01,1.60618085839081
NPL,2012-01-01,1.67598753441661
NPL,2011-01-01,2.00668094304848
NPL,2010-01-01,2.31233314887669
NPL,2009-01-01,2.89219586768057
NPL,2008-01-01,2.87020628006279
NPL,2007-01-01,3.69085921286511
NPL,2006-01-01,5.15545411942603
NPL,2005-01-01,6.25246820199786
CAR,2023-01-01,13.3626234670299
CAR,2022-01-01,13.28970234714
CAR,2021-01-01,13.1696920960953
CAR,2020-01-01,12.5634216351375
CAR,2019-01-01,13.4039163891179
CAR,2018-01-01,12.8231121824865
CAR,2017-01-01,14.6182982891751
CAR,2016-01-01,12.4254380685723
CAR,2015-01-01,10.7746096789164
CAR,2014-01-01,9.961614035339
CAR,2013-01-01,9.59759906195034
CAR,2012-01-01,9.00423180425004
CAR,2011-01-01,8.62814831400534
CAR,2010-01-01,8.18652095676075
CAR,2009-01-01,7.86664838953077
CAR,2008-01-01,7.579854891937
CAR,2007-01-01,7.83432458392869
CAR,2006-01-01,7.63777895246626
CAR,2005-01-01,7.77656060636301
